"Maint Activity Name","Equip Pool Name","Asset Id","Item Desc","Location","Maintenance Schedule Id","Plan ID","Plan Name","Plan Desc","Plan Type Cd","Occurrence Cd","Last Maint Dt","Recurring Method Cd","Total Util Qty","Schedule Method","Last Util Qty","Utilization Measure Cd","Next Maint Date","Schedule Date","ACC","Acq Pgm Desc","Acq Pgm Name","APO Name","Asset Sts Cd","Before Util Qty","Central Maint Schedule Flag","Current Meter Reading","Custodian Name","Custodian Nbr","Data Code","Days Before Sched Qty","DOD Serial Nbr","Due Date","Equip Grp Cd","Extended Due Date","Frequency Cd","Include Weekend","Interval","Issue Date","LIN/TAMCN","Maint Acty Desc","Maint Loc","Maint Team Desc","Maint Team Id","Mfr Model Nbr","Mfr Name","Mfr Part Nbr","Next Util Qty","Not In Use","Owning UIC","Priority Cd","Rescission Date","Sched Effective Dt","Serial Nbr","Stock Nbr","Suspend Until Dt","Suspend Util Qty","Type Dsg Desc","Type Dsg Group Cd","Type Dsg Name","UII","Util Qty Frequency","Util Svc Life","Vehicle Grp Cd","Vehicle Type Cd","Waiver","Estbd By","Estbd Date Time","Last Updtd By","Last Tran Date Time"
"5 LRS MINOT","DS - 5 MUNS","AF16B00938","TRAILER,FLAT BED","MINOT AFB","DF-VEHS5 LRS MINOT259835","35AV","INSP/ SEMI-TRAILER STRUCTURAL INSP/  #VSCOS","INSPECTION PERIODIC/ SEMI-TRAILER STRUCTURAL INSPECTION, TO 36-1-191, TABLE 3-2, ITEM 16/ PARA 3.20.2","PREV","R","05/06/2026      ","XD","0.000","LM","0.00","","05/06/2027      ","","T - Other Equip","","","TROY SENGER","U - In Use","","NO","","MUNS PRODUCTION FLT","441VV-MTDS","","42","","","PR - Trailers: Group PR","","M","NO","12","","B409","5 LRS MINOT VEHICLE MANAGEMENT FLIGHT","MINOT AFB NCE","","","GTFS402-40-38","GLOBE TRAILER","","","NO","FFDYM0","5 - Routine I - 5 days","","","1G9FS402XHB336497","2330016324617","","","","","","LDN003670000949454","","","","","False","FKIRTIDEVI","4/15/2024 12:28:17 PM","UNKNOWN","5/6/2026 6:52:55 PM"
"5 LRS MINOT","DS - 5 MUNS","AF16B00938","TRAILER,FLAT BED","MINOT AFB","DF-VEHS5 LRS MINOT287207","34AA","SCH PREVENTIVE MAINT INSP  #VSCOS","SCH PREVENTIVE MAINTENANCE INSPECTION, IAW TO 36-1-191, TABLE 3-1 & PARA 3.13.1","PREV","R","05/06/2026      ","XD","0.000","LM","0.00","","05/06/2027      ","","T - Other Equip","","","TROY SENGER","U - In Use","","NO","","MUNS PRODUCTION FLT","441VV-MTDS","","42","","","PR - Trailers: Group PR","","M","NO","12","","B409","5 LRS MINOT VEHICLE MANAGEMENT FLIGHT","MINOT AFB NCE","","","GTFS402-40-38","GLOBE TRAILER","","","NO","FFDYM0","5 - Routine I - 5 days","","","1G9FS402XHB336497","2330016324617","","","","","","LDN003670000949454","","","","","False","AREINECCIUS","4/15/2024 10:44:25 AM","UNKNOWN","5/6/2026 6:52:55 PM"
"5 LRS MINOT","DS - 5 MUNS","AF16B00938","TRAILER,FLAT BED","MINOT AFB","DF-VEHS5 LRS MINOT299037","43AN","INSP/ NCE DATA PLATE INSP  #VSCOS","INSPECTION PERIODIC/ NUCLEAR CERTIFIED EQUIPMENTNCE/ DATA PLATE INSPECTION IAW 36-1-191, TABLE 3-2, ITEM 13,  AFI 63-125 & 24-302","INSP","R","05/06/2026      ","XD","0.000","LM","0.00","","05/06/2027      ","","T - Other Equip","","","TROY SENGER","U - In Use","","NO","","MUNS PRODUCTION FLT","441VV-MTDS","","10","","","PR - Trailers: Group PR","","M","NO","12","","B409","5 LRS MINOT VEHICLE MANAGEMENT FLIGHT","MINOT AFB NCE","","","GTFS402-40-38","GLOBE TRAILER","","","NO","FFDYM0","5 - Routine I - 5 days","","","1G9FS402XHB336497","2330016324617","","","","","","LDN003670000949454","","","","","False","LTANG","2/20/2025 9:34:31 AM","UNKNOWN","5/6/2026 6:52:53 PM"
"5 LRS MINOT","DS - 5 MUNS","AF16B00938","TRAILER,FLAT BED","MINOT AFB","DF-VEHS5 LRS MINOT306977","35AT","INSP/ TRAILER KING PIN INSPECTION  #VSCOS","INSPECTION PERIODIC/ TRAILER KING PIN INSPECTION, IAW TO 36-1-191, TABLE 3-2, ITEM 7/ PARA 3.17.4","PREV","R","05/06/2026      ","XD","0.000","LM","0.00","","05/06/2027      ","","T - Other Equip","","","TROY SENGER","U - In Use","","NO","","MUNS PRODUCTION FLT","441VV-MTDS","","14","","","PR - Trailers: Group PR","","M","NO","12","","B409","5 LRS MINOT VEHICLE MANAGEMENT FLIGHT","MINOT AFB NCE","","","GTFS402-40-38","GLOBE TRAILER","","","NO","FFDYM0","5 - Routine I - 5 days","","","1G9FS402XHB336497","2330016324617","","","","","","LDN003670000949454","","","","","False","LTANG","7/23/2025 9:05:12 AM","UNKNOWN","5/6/2026 6:52:53 PM"
"5 LRS MINOT","DS - 5 MUNS","AF16B01022","TRAILER,FLAT BED","MINOT AFB","DF-VEHS5 LRS MINOT259678","43AA","INCOMING INSPECTION  #VSCOS","INCOMING INSPECTION","INSP","R","02/27/2026      ","XD","","LM","0.00","","02/27/2027      ","","M - Material Handling Equipment","","","TROY SENGER","U - In Use","","NO","","MUNS PRODUCTION FLT","441VV-MTDS","","42","","","PR - Trailers: Group PR","","M","NO","12","","B407","5 LRS MINOT VEHICLE MANAGEMENT FLIGHT","MINOT AFB NCE","","","GTFV202-34-24","GLOBE TRAILER","","","NO","FFDYM0","5 - Routine I - 5 days","","","1G9FV3425HB336788","2330016571332","","","","","","LDN003670000949457","","","","","False","HOLEARY","3/1/2023 2:54:50 PM","UNKNOWN","2/27/2026 1:23:01 PM"
"5 LRS MINOT","DS - 5 MUNS","AF16B01022","TRAILER,FLAT BED","MINOT AFB","DF-VEHS5 LRS MINOT259705","35AA","INSP/ WHEEL BEARINGS  #VSCOS","INSPECTION PERIODIC/ WHEEL BEARING INSPECTION/SERVICE, IAW TO 36-1-191, TABLE 3-2, ITEM 1","PREV","R","08/14/2025      ","XD","","LM","0.00","","08/14/2028      ","","M - Material Handling Equipment","","","TROY SENGER","U - In Use","","NO","","MUNS PRODUCTION FLT","441VV-MTDS","","42","","","PR - Trailers: Group PR","","M","NO","36","","B407","5 LRS MINOT VEHICLE MANAGEMENT FLIGHT","MINOT AFB NCE","","","GTFV202-34-24","GLOBE TRAILER","","","NO","FFDYM0","5 - Routine I - 5 days","","","1G9FV3425HB336788","2330016571332","","","","","","LDN003670000949457","","","","","False","HOLEARY","3/1/2023 1:45:43 PM","UNKNOWN","8/14/2025 9:39:05 AM"
"5 LRS MINOT","DS - 5 MUNS","AF16B01022","TRAILER,FLAT BED","MINOT AFB","DF-VEHS5 LRS MINOT259835","35AV","INSP/ SEMI-TRAILER STRUCTURAL INSP/  #VSCOS","INSPECTION PERIODIC/ SEMI-TRAILER STRUCTURAL INSPECTION, TO 36-1-191, TABLE 3-2, ITEM 16/ PARA 3.20.2","PREV","R","08/14/2025      ","XD","","LM","0.00","","08/14/2026      ","","M - Material Handling Equipment","","","TROY SENGER","U - In Use","","NO","","MUNS PRODUCTION FLT","441VV-MTDS","","42","","","PR - Trailers: Group PR","","M","NO","12","","B407","5 LRS MINOT VEHICLE MANAGEMENT FLIGHT","MINOT AFB NCE","","","GTFV202-34-24","GLOBE TRAILER","","","NO","FFDYM0","5 - Routine I - 5 days","","","1G9FV3425HB336788","2330016571332","","","","","","LDN003670000949457","","","","","False","KDAVIS","4/23/2024 11:54:02 AM","UNKNOWN","8/14/2025 9:39:07 AM"
"5 LRS MINOT","DS - 5 MUNS","AF16B01022","TRAILER,FLAT BED","MINOT AFB","DF-VEHS5 LRS MINOT287207","34AA","SCH PREVENTIVE MAINT INSP  #VSCOS","SCH PREVENTIVE MAINTENANCE INSPECTION, IAW TO 36-1-191, TABLE 3-1 & PARA 3.13.1","PREV","R","08/14/2025      ","XD","","LM","0.00","","08/14/2026      ","","M - Material Handling Equipment","","","TROY SENGER","U - In Use","","NO","","MUNS PRODUCTION FLT","441VV-MTDS","","42","","","PR - Trailers: Group PR","","M","NO","12","","B407","5 LRS MINOT VEHICLE MANAGEMENT FLIGHT","MINOT AFB NCE","","","GTFV202-34-24","GLOBE TRAILER","","","NO","FFDYM0","5 - Routine I - 5 days","","","1G9FV3425HB336788","2330016571332","","","","","","LDN003670000949457","","","","","False","AREINECCIUS","4/15/2024 10:06:50 AM","UNKNOWN","8/14/2025 9:39:08 AM"
"5 LRS MINOT","DS - 5 MUNS","AF16B01022","TRAILER,FLAT BED","MINOT AFB","DF-VEHS5 LRS MINOT299037","43AN","INSP/ NCE DATA PLATE INSP  #VSCOS","INSPECTION PERIODIC/ NUCLEAR CERTIFIED EQUIPMENTNCE/ DATA PLATE INSPECTION IAW 36-1-191, TABLE 3-2, ITEM 13,  AFI 63-125 & 24-302","INSP","R","08/14/2025      ","XD","","LM","0.00","","08/14/2026      ","","M - Material Handling Equipment","","","TROY SENGER","U - In Use","","NO","","MUNS PRODUCTION FLT","441VV-MTDS","","10","","","PR - Trailers: Group PR","","M","NO","12","","B407","5 LRS MINOT VEHICLE MANAGEMENT FLIGHT","MINOT AFB NCE","","","GTFV202-34-24","GLOBE TRAILER","","","NO","FFDYM0","5 - Routine I - 5 days","","","1G9FV3425HB336788","2330016571332","","","","","","LDN003670000949457","","","","","False","LTANG","2/20/2025 10:12:32 AM","UNKNOWN","8/14/2025 9:39:07 AM"
"5 LRS MINOT","DS - 5 MUNS","AF16B01022","TRAILER,FLAT BED","MINOT AFB","DF-VEHS5 LRS MINOT306977","35AT","INSP/ TRAILER KING PIN INSPECTION  #VSCOS","INSPECTION PERIODIC/ TRAILER KING PIN INSPECTION, IAW TO 36-1-191, TABLE 3-2, ITEM 7/ PARA 3.17.4","PREV","R","08/14/2025      ","XD","","LM","0.00","","08/14/2026      ","","M - Material Handling Equipment","","","TROY SENGER","U - In Use","","NO","","MUNS PRODUCTION FLT","441VV-MTDS","","14","","","PR - Trailers: Group PR","","M","NO","12","","B407","5 LRS MINOT VEHICLE MANAGEMENT FLIGHT","MINOT AFB NCE","","","GTFV202-34-24","GLOBE TRAILER","","","NO","FFDYM0","5 - Routine I - 5 days","","","1G9FV3425HB336788","2330016571332","","","","","","LDN003670000949457","","","","","False","LTANG","7/23/2025 8:59:30 AM","UNKNOWN","8/14/2025 9:39:07 AM"
